case_id,target_name,created_at,status,dossier_path,result_screenshot
8-0531000042044,PremiumWitgoedReparatie Syndicate (National Virtual Witgoed Network),2026-09-21T12:52:19.042440,SUBMITTED,dossiers\premium_witgoed_reparatie_syndicate_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\premiumwitgoedreparatie_syndicate__national_virtual_witgoed_network__submission_result.png
1-9530000041919,Netherlands Marketing Agencies (Title Keyword Stuffing),2026-09-21T12:23:31.658777,SUBMITTED,dossiers\marketing_agencies_keyword_stuffing_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\netherlands_marketing_agencies__title_keyword_stuffing__submission_result.png
0-4316000041158,Sixt B.V. (Enterprise Keyword Stuffing),2026-09-21T12:23:18.557506,SUBMITTED,dossiers\sixt_autoverhuur_keyword_stuffing_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\sixt_b_v___enterprise_keyword_stuffing__submission_result.png
7-4222000041822,Dakkoffer Online Inleverpunten Syndicate Part 3 (Drop-off Network),2026-09-21T11:44:43.885996,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\dakkoffer_online_inleverpunten_syndicate_part_3__drop-off_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\dakkoffer_online_inleverpunten_syndicate_part_3__drop-off_network__submission_result.png
7-7064000041462,Dakkoffer Online Inleverpunten Syndicate Part 2 (Drop-off Network),2026-09-21T11:44:25.368355,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\dakkoffer_online_inleverpunten_syndicate_part_2__drop-off_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\dakkoffer_online_inleverpunten_syndicate_part_2__drop-off_network__submission_result.png
5-5565000041783,Dakkoffer Online Inleverpunten Syndicate Part 1 (Drop-off Network),2026-09-21T11:43:58.753645,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\dakkoffer_online_inleverpunten_syndicate_part_1__drop-off_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\dakkoffer_online_inleverpunten_syndicate_part_1__drop-off_network__submission_result.png
0-9937000042070,National Auto Sales Syndicate Part 2 (0XX-369 Network),2026-09-21T11:01:25.301119,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_auto_sales_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_auto_sales_syndicate_part_2__0xx-369_network__submission_result.png
6-4846000042063,National Auto Sales Syndicate Part 1 (0XX-369 Network),2026-09-21T11:01:06.157355,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_auto_sales_syndicate_part_1__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_auto_sales_syndicate_part_1__0xx-369_network__submission_result.png
6-7366000041346,National Automobile Purchase Syndicate (0XX-369 Network),2026-09-21T10:58:58.569121,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_automobile_purchase_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_automobile_purchase_syndicate__0xx-369_network__submission_result.png
3-7223000041722,National Pro Deo Lawyer Syndicate Part 4 (Smaller Municipalities),2026-09-20T14:33:20.825164,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_pro_deo_lawyer_syndicate_part_4__smaller_municipalities__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_pro_deo_lawyer_syndicate_part_4__smaller_municipalities__submission_result.png
