cluster_id,profiles,targets,review_ready_profiles,requires_manual_review,shared_indicators
cluster-001,266,CAREBRICK Nederland B.V. (Virtual Branch Network) | Cross-Niche Syndicate (dakdekkeramsterdam.net) | Leiden Contractor Syndicate (Bargelaan 200) | National Air Conditioning Syndicate Part 1 (0XX-369 Network) | National Air Conditioning Syndicate Part 2 (0XX-369 Network) | National Automobile Purchase Syndicate (0XX-369 Network) | National Criminal Law Syndicate (0XX-369 Network) | National Dormer Construction Syndicate Part 1 (0XX-369 Network) | National Electrician Syndicate (0XX-369 Network) | National Employment Law Syndicate (0XX-369 Network) | National Facade Cleaning Syndicate Part 1 (0XX-369 Network) | National Facade Cleaning Syndicate Part 2 (0XX-369 Network) | National Fencing and Gates Syndicate  (0XX-369 Network) | National Glazier Syndicate (0XX-369 Network) | National Heat Pump Syndicate (0XX-369 Network) | National Home Renovation Syndicate (0XX-369 Network) | National Insulation Syndicate Part 2 (0XX-369 Network) | National Landscaping Syndicate (0XX-369 Network) | National Moisture Control Syndicate (0XX-369 Network) | National Moving Company Syndicate Part 1 (0XX-369 Network) | National Painting Syndicate (0XX-369 Network) | National Painting Syndicate Part 2 (0XX-369 Network) | National Personal Injury Syndicate (0XX-369 Network) | National Personal Injury Syndicate Part 2 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network) | National Plasterer Syndicate Part 1 (0XX-369 Network) | National Plasterer Syndicate Part 2 (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 1 (Bollenstreek & West NL) | National Roofing Syndicate (0XX-369 Network) | National Roofing Syndicate Part 2 (0XX-369 Network) | National Seamless Flooring Syndicate Part 1 (0XX-369 Network) | National Sewer and Unblocking Syndicate (0XX-369 Network) | National Solar Energy Syndicate  (0XX-369 Network) | National Underfloor Heating Syndicate Part 1 (0XX-369 Network) | National Water Softener Syndicate  (0XX-369 Network) | National Window Frame Syndicate Part 1 (0XX-369 Network) | National Window Frame Syndicate Part 2 (0XX-369 Network) | Spouwmuurisolatie Netwerk (spouwmuurisolatieleiden.com),0,True,address:bargelaan2002333cwleiden | address:burgemeesterverwielstraat675062gcoisterwijk | address:ceresstraat14811cabreda | address:databankweg263821alamersfoort | address:decuserstraat931081cnamsterdam | address:drhubvandoorneweg1815026rdtilburg | address:flightforum405657dbeindhoven | address:grotevoort293a8041blzwolle | address:hartvanbrabantlaan1214165038jltilburg | address:hartvanbrabantlaan12145038jltilburg | address:hendrikfigeeweg12031bjhaarlem | address:ijsbaanpad91076cvamsterdam | address:jonkerbosplein526534abnijmegen | address:kerkenbos10216546bbnijmegen | address:mandelaplein11314cgalmere | address:marathon111213pghilversum | address:meesterbmteldersstraat76842ctarnhem | address:paterswoldseweg8069728bmgroningen | address:pompoenweg32321dkleiden | address:stjacobsstraat1231353511bputrecht | address:verlengdepoolseweg164818clbreda | address:weena2903012njrotterdam | address:zekeringstraat17a1014bmamsterdam | phone:0103602556 | phone:0133699273 | phone:0203695672 | phone:0203695679 | phone:0203695686 | phone:0203695704 | phone:0233690162 | phone:0233699008 | phone:0233699990 | phone:0233699991 | phone:0233699996 | phone:0243001122 | phone:0246690291 | phone:0303691259 | phone:0303691306 | phone:0303691308 | phone:0403690462 | phone:0403690498 | phone:0505690497 | phone:0715690418 | phone:0715690458 | phone:0715690459 | phone:0715690463 | phone:0715690464 | phone:0715690465 | phone:0715690471 | phone:0723690347 | phone:0733690468 | phone:0763690262 | website:carebrick.nl | website:dakdekkeramsterdam.net | website:dakdekkerleiden.com | website:dakkapelamsterdam.com | website:dakkapelhaarlem.com | website:dakkapelleiden.com | website:dakkapelutrecht.com | website:elektricienleiden.net | website:gevelreinigingamsterdam.com | website:gevelreiniginghaarlem.com | website:gevelreinigingleiden.com | website:gevelreinigingrotterdam.com | website:isolatiebedrijfamsterdam.net | website:kozijnenamsterdam.net | website:kozijnenhaarlem.com | website:kozijnenleiden.com | website:kozijnenutrecht.com | website:letselschadeadvocaatalkmaar.com | website:letselschadeadvocaatbreda.com | website:letselschadeadvocaateindhoven.net | website:letselschadeadvocaatgroningen.com | website:letselschadeadvocaathaarlem.com | website:letselschadeadvocaatnijmegen.com | website:letselschadeadvocaattilburg.net | website:letselschadeadvocaatutrecht.com | website:sites.google.com | website:traprenovatieleiden.com | website:zonnepanelenleiden.com
cluster-050,99,PC Refresh | PC Refresh Inleverpunten Syndicate Part 1 (Drop-off Network) | PC Refresh Inleverpunten Syndicate Part 2 (Drop-off Network) | PC Refresh Inleverpunten Syndicate Part 3 (Drop-off Network),0,True,address:1emiddellandstraat108b3021bhrotterdam | address:abtsweg603042gdrotterdam | address:amphoraweg16a2332eeleiden | address:azalealaan39a5701cjhelmond | address:damstraat472265aeleidschendam | address:dragonstraat275044hrtilburg | address:edisonweg1f1821bnalkmaar | address:frobenstraat53045rdrotterdam | address:gasthuisstraat564201jrgorinchem | address:gedempteoudegracht842011gvhaarlem | address:gentsestraat56a2587hvdenhaag | address:havenstraat9a2211eenoordwijkerhout | address:heilighartplein214702reroosendaal | address:hoefbladplein92643kdpijnacker | address:hoofdstraat2092171bcsassenheim | address:ijsselkade452314vmleiden | address:jpheijeplein43314srdordrecht | address:kerkstraat1135161ecsprangcapelle | address:kovel65431stcuijk | address:krakeelpolderweg272613nwdelft | address:laagraven5c3439lgnieuwegein | address:leeghwater15173825mramersfoort | address:maltaplein573059xwrotterdam | address:markt68a2801jmgouda | address:molenwijk341035egamsterdam | address:nieuwekoekoekstraat23514eeutrecht | address:nieuwemeerdijk1401171nhbadhoevedorp | address:orthenstraat425211sxshertogenbosch | address:paxlaan102131pzhoofddorp | address:reinkenstraat932517csdenhaag | address:rijnstraat493a5215ejshertogenbosch | address:slotlaan2913701ghzeist | address:slotplein962902hrcapelleaandenijssel | address:stadionweg1391076nmamsterdam | address:tooropstraat16266521npnijmegen | address:vaartweg91211jdhilversum | address:vromade32411lgbodegraven | address:warande122711hxzoetermeer | address:zijdepark32935lbouderkerkaandenijssel | address:zuiddijk1071501cdzaandam | phone:0702200000 | website:pcrefresh.com
cluster-018,96,Dakkoffer Online Inleverpunten Syndicate Part 1 (Drop-off Network) | Dakkoffer Online Inleverpunten Syndicate Part 2 (Drop-off Network) | Dakkoffer Online Inleverpunten Syndicate Part 3 (Drop-off Network) | Topspace B.V. / Rent a Skibox Drop-off Network,0,True,address:nijverheidsstraat272132azhoofddorp | address:plutoweg58938acleeuwarden | address:zwolseweg5387345anwenumwiesel | phone:0492745158 | phone:0765207520 | phone:0854895896 | website:dakkofferonline.nl | website:rent-a-skibox.nl
cluster-016,87,Bouwvisie Holland | Dak Advies Groep B.V. | MR Dakdekker / PJH Totaalservice B.V. | Maslocks | National Facade Cleaning Syndicate Part 2 (0XX-369 Network) | National Glazier Syndicate (0XX-369 Network) | National Painting Syndicate Part 2 (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 3 (Regional Towns) | National Pro Deo Lawyer Syndicate Part 4 (Smaller Municipalities) | National Property Clearance Syndicate Part 2 (0XX-369 Network) | Riool Techniek Groep B.V. (Ontstoppingsdienst.nl) | Roofix Dakdekkers | Rotterdam Hofplein Contractor Syndicate,0,True,address:alexanderveld52585dbdenhaag | address:flemingweg82408avalphenaandenrijn | address:hofplein203032acrotterdam | address:kanaalpark1402321jvleiden | address:keizersgracht4821017egamsterdam | address:kennemerplein62011mjhaarlem | address:liessentstraat9a5405ahuden | address:mercuriusplein12132hahoofddorp | address:naarderweg161217glhilversum | address:pelmolenlaan163447gwwoerden | address:rotterdamseweg1832629hddelft | address:weena6903012cnrotterdam | address:weenazuid1303012ncrotterdam | address:westeinde233844ddharderwijk | address:wilhelminaplein1403072derotterdam | phone:0202101933 | phone:0851306464 | website:bouwvisieholland.nl | website:dakadviesgroep.nl | website:mrdakdekker.nl | website:ontstoppingsdienst.nl | website:roofix-dakdekkers.nl | website:slotenmaker-maslocks.nl | website:spacesworks.com
cluster-042,36,National Criminal Law Syndicate (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 2 (Major Cities) | Psyned (Psychologen Nederland B.V.),0,True,address:bernadottelaan133527gautrecht | address:damsterdiep49539711shgroningen | address:erasmusweg344834aabreda | address:graafseweg2746532zvnijmegen | address:westplein123016bmrotterdam | phone:0854014720 | website:psyned.nl
cluster-013,20,National Air Conditioning Syndicate Part 1 (0XX-369 Network) | National Automobile Purchase Syndicate (0XX-369 Network) | National Electrician Syndicate (0XX-369 Network) | National Insulation Syndicate Part 2 (0XX-369 Network) | National Landscaping Syndicate (0XX-369 Network) | National Moving Company Syndicate Part 1 (0XX-369 Network) | National Painting Syndicate Part 2 (0XX-369 Network) | National Plasterer Syndicate Part 1 (0XX-369 Network) | National Roofing Syndicate Part 2 (0XX-369 Network) | National Seamless Flooring Syndicate Part 1 (0XX-369 Network) | National Solar Energy Syndicate  (0XX-369 Network) | National Underfloor Heating Syndicate Part 1 (0XX-369 Network) | National Water Softener Syndicate  (0XX-369 Network) | National Window Frame Syndicate Part 1 (0XX-369 Network) | SmartDry Vochtbestrijding (Schrijver Vochtbestrijding B.V.),0,True,address:capitool107521plenschede | phone:0303100473 | website:smartdry.nl
cluster-065,20,Rijles Zonder Stress Franchise B.V.,0,True,phone:0651444319 | website:rijleszonderstress.nl
cluster-012,12,National Underfloor Heating Syndicate Part 1 (0XX-369 Network) | National Underfloor Heating Syndicate Part 2 (0XX-369 Network),0,True,address:vrijblijvendadviesbespaardirectopenergiemetvloerverwarmingvraageenvoudigeenvrijblijvendeofferteaanenontdekhoejijefficinterencomfo | phone:0203692916
cluster-005,11,National Electrician Syndicate (0XX-369 Network) | National Insulation Syndicate Part 2 (0XX-369 Network) | National Landscaping Syndicate (0XX-369 Network) | National Painting Syndicate Part 2 (0XX-369 Network) | National Personal Injury Syndicate (0XX-369 Network) | National Personal Injury Syndicate Part 2 (0XX-369 Network) | National Plasterer Syndicate Part 2 (0XX-369 Network) | National Roofing Syndicate Part 2 (0XX-369 Network) | National Window Frame Syndicate Part 1 (0XX-369 Network),0,True,address:hetrietveld55a7321ctapeldoorn | address:keulenstraat10b7418etdeventer | phone:0555690937 | website:letselschadeadvocaatapeldoorn.com
cluster-007,11,National Air Conditioning Syndicate Part 1 (0XX-369 Network) | National Automobile Purchase Syndicate (0XX-369 Network) | National Electrician Syndicate (0XX-369 Network) | National Fencing and Gates Syndicate  (0XX-369 Network) | National Heat Pump Syndicate (0XX-369 Network) | National Home Renovation Syndicate (0XX-369 Network) | National Landscaping Syndicate (0XX-369 Network) | National Moving Company Syndicate Part 1 (0XX-369 Network) | National Seamless Flooring Syndicate Part 1 (0XX-369 Network) | National Sewer and Unblocking Syndicate (0XX-369 Network) | National Underfloor Heating Syndicate Part 1 (0XX-369 Network),0,True,address:stjacobsstraat1233511bputrecht
